"ano","semestre","regiao_geografica","complexo_portuario","perfil_da_carga","grupo_de_mercadoria","1201","202","203","201","ano_semestre","periodo"
2014,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3603497.124,0,0,0,"2014-S2º Semestre","Pré-2017"
2016,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3521087.634,0,0,0,"2016-S1º Semestre","Pré-2017"
2010,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3492789.145,0,0,0,"2010-S1º Semestre","Pré-2017"
2020,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3436189.359,0,0,0,"2020-S1º Semestre","Pós-2017"
2024,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3413814.977,0,0,0,"2024-S1º Semestre","Pós-2017"
2017,"1º Semestre","Norte","Santarém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3366688.39,0,0,0,"2017-S1º Semestre","Pós-2017"
2019,"2º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3343432.622,0,0,0,"2019-S2º Semestre","Pós-2017"
2013,"2º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3310623.636,0,0,0,"2013-S2º Semestre","Pré-2017"
2017,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3242891.923,0,0,0,"2017-S1º Semestre","Pós-2017"
2011,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3226919.722,0,0,0,"2011-S1º Semestre","Pré-2017"
2022,"2º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3226460.579,0,0,0,"2022-S2º Semestre","Pós-2017"
2015,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3226329.767,0,0,0,"2015-S1º Semestre","Pré-2017"
2014,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3223510.576,0,0,0,"2014-S1º Semestre","Pré-2017"
2023,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3164972.43,0,0,0,"2023-S1º Semestre","Pós-2017"
2021,"2º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3153583.26,0,0,0,"2021-S2º Semestre","Pós-2017"
2020,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3139254.037,0,0,0,"2020-S2º Semestre","Pós-2017"
2011,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3130284.225,0,0,0,"2011-S2º Semestre","Pré-2017"
2015,"2º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3113333.536,0,0,0,"2015-S2º Semestre","Pré-2017"
2013,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3080953.444,0,0,0,"2013-S1º Semestre","Pré-2017"
2015,"1º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3070723.111,0,0,0,"2015-S1º Semestre","Pré-2017"
2021,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3069451.542,0,0,0,"2021-S1º Semestre","Pós-2017"
2011,"2º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3043267.354,0,0,0,"2011-S2º Semestre","Pré-2017"
2021,"2º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",3013260.519,0,0,0,"2021-S2º Semestre","Pós-2017"
2016,"1º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2983140.52,0,0,0,"2016-S1º Semestre","Pré-2017"
2016,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2928835.76,0,0,0,"2016-S1º Semestre","Pré-2017"
2020,"2º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2872265.346,0,0,0,"2020-S2º Semestre","Pós-2017"
2018,"2º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2866388.938,0,0,0,"2018-S2º Semestre","Pós-2017"
2024,"2º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2865880.436,0,0,0,"2024-S2º Semestre","Pós-2017"
2016,"1º Semestre","Norte","Santarém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2839622.272,0,0,0,"2016-S1º Semestre","Pré-2017"
2019,"1º Semestre","Norte","Itaituba","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2828829.745,0,0,0,"2019-S1º Semestre","Pós-2017"
2010,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2771746,0,0,0,"2010-S1º Semestre","Pré-2017"
2023,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2738167.889,0,0,0,"2023-S1º Semestre","Pós-2017"
2015,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2733375.916,0,0,0,"2015-S1º Semestre","Pré-2017"
2016,"1º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2722282.052,0,0,0,"2016-S1º Semestre","Pré-2017"
2018,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2616723.787,0,0,0,"2018-S1º Semestre","Pós-2017"
2011,"2º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2615695.71,0,0,0,"2011-S2º Semestre","Pré-2017"
2012,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2588312.121,0,0,0,"2012-S1º Semestre","Pré-2017"
2021,"1º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2581023.749,0,0,0,"2021-S1º Semestre","Pós-2017"
2023,"2º Semestre","Nordeste","Aratu - Salvador","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2503397.028,0,0,0,"2023-S2º Semestre","Pós-2017"
2023,"2º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2472346.261,0,0,0,"2023-S2º Semestre","Pós-2017"
2012,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2452515.578,0,0,0,"2012-S1º Semestre","Pré-2017"
2022,"2º Semestre","Nordeste","Aratu - Salvador","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2437385.9,0,0,0,"2022-S2º Semestre","Pós-2017"
2014,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2402082.549,0,0,0,"2014-S1º Semestre","Pré-2017"
2019,"2º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2397285.56,0,0,0,"2019-S2º Semestre","Pós-2017"
2020,"1º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2394382.111,0,0,0,"2020-S1º Semestre","Pós-2017"
2012,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2392974.866,0,0,0,"2012-S1º Semestre","Pré-2017"
2014,"1º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2388682.62,0,0,0,"2014-S1º Semestre","Pré-2017"
2018,"2º Semestre","Nordeste","Aratu - Salvador","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2370962.578,0,0,0,"2018-S2º Semestre","Pós-2017"
2025,"1º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2354336.418,0,0,0,"2025-S1º Semestre","Pós-2017"
2015,"1º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2334946.675,0,0,0,"2015-S1º Semestre","Pré-2017"
2013,"2º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2297804.667,0,0,0,"2013-S2º Semestre","Pré-2017"
2018,"1º Semestre","Norte","Itaituba","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2278448.459,0,0,0,"2018-S1º Semestre","Pós-2017"
2010,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2226908.62,0,0,0,"2010-S1º Semestre","Pré-2017"
2013,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2210363.33,0,0,0,"2013-S1º Semestre","Pré-2017"
2019,"2º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2207685.285,0,0,0,"2019-S2º Semestre","Pós-2017"
2011,"2º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2204581.644,0,0,0,"2011-S2º Semestre","Pré-2017"
2019,"1º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2194822.278,0,0,0,"2019-S1º Semestre","Pós-2017"
2017,"2º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2192765.747,0,0,0,"2017-S2º Semestre","Pós-2017"
2018,"1º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2190018.102,0,0,0,"2018-S1º Semestre","Pós-2017"
2019,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2131211.44,0,0,0,"2019-S1º Semestre","Pós-2017"
2013,"1º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2125109.51,0,0,0,"2013-S1º Semestre","Pré-2017"
2018,"2º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2120934.391,0,0,0,"2018-S2º Semestre","Pós-2017"
2023,"2º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2119554.201,0,0,0,"2023-S2º Semestre","Pós-2017"
2022,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2113953.493,0,0,0,"2022-S1º Semestre","Pós-2017"
2025,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2104050.484,0,0,0,"2025-S1º Semestre","Pós-2017"
2016,"1º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2094553.597,0,0,0,"2016-S1º Semestre","Pré-2017"
2020,"2º Semestre","Nordeste","Aratu - Salvador","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2077081.426,0,0,0,"2020-S2º Semestre","Pós-2017"
2017,"1º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2038489.362,0,0,0,"2017-S1º Semestre","Pós-2017"
2012,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2014283.073,0,0,0,"2012-S1º Semestre","Pré-2017"
2023,"1º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2012350.7,0,0,0,"2023-S1º Semestre","Pós-2017"
2022,"2º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",2009814.019,0,0,0,"2022-S2º Semestre","Pós-2017"
2010,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1994629.131,0,0,0,"2010-S2º Semestre","Pré-2017"
2021,"2º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1991828.88,0,0,0,"2021-S2º Semestre","Pós-2017"
2015,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1984076.84,0,0,0,"2015-S1º Semestre","Pré-2017"
2015,"2º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1977872.631,0,0,0,"2015-S2º Semestre","Pré-2017"
2024,"2º Semestre","Nordeste","Aratu - Salvador","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1949283.749,0,0,0,"2024-S2º Semestre","Pós-2017"
2020,"2º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1947212.753,0,0,0,"2020-S2º Semestre","Pós-2017"
2015,"1º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1900623.962,0,0,0,"2015-S1º Semestre","Pré-2017"
2022,"1º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1897247.205,0,0,0,"2022-S1º Semestre","Pós-2017"
2024,"1º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1897057.412,0,0,0,"2024-S1º Semestre","Pós-2017"
2018,"2º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1894522.069,0,0,0,"2018-S2º Semestre","Pós-2017"
2010,"2º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1878477,0,0,0,"2010-S2º Semestre","Pré-2017"
2019,"1º Semestre","Nordeste","Aratu - Salvador","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1871841.28,0,0,0,"2019-S1º Semestre","Pós-2017"
2023,"2º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1866137.512,0,0,0,"2023-S2º Semestre","Pós-2017"
2019,"2º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1859919.002,0,0,0,"2019-S2º Semestre","Pós-2017"
2024,"2º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1857607.747,0,0,0,"2024-S2º Semestre","Pós-2017"
2014,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1857366.99,0,0,0,"2014-S1º Semestre","Pré-2017"
2022,"2º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1848040.067,0,0,0,"2022-S2º Semestre","Pós-2017"
2022,"1º Semestre","Nordeste","Aratu - Salvador","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1825756.398,0,0,0,"2022-S1º Semestre","Pós-2017"
2010,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1799159.498,0,0,0,"2010-S1º Semestre","Pré-2017"
2011,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1797298.725,0,0,0,"2011-S1º Semestre","Pré-2017"
2024,"2º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1791436.589,0,0,0,"2024-S2º Semestre","Pós-2017"
2011,"1º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1790140.766,0,0,0,"2011-S1º Semestre","Pré-2017"
2017,"1º Semestre","Norte","Itaituba","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1772547.716,0,0,0,"2017-S1º Semestre","Pós-2017"
2021,"2º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1762997.397,0,0,0,"2021-S2º Semestre","Pós-2017"
2020,"2º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1750171.875,0,0,0,"2020-S2º Semestre","Pós-2017"
2019,"2º Semestre","Nordeste","Aratu - Salvador","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1731018.002,0,0,0,"2019-S2º Semestre","Pós-2017"
2017,"2º Semestre","Nordeste","Aratu - Salvador","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1725811.001,0,0,0,"2017-S2º Semestre","Pós-2017"
2017,"2º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1718111.729,0,0,0,"2017-S2º Semestre","Pós-2017"
2023,"2º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1704578.493,0,0,0,"2023-S2º Semestre","Pós-2017"
2015,"2º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1688186.293,0,0,0,"2015-S2º Semestre","Pré-2017"
2021,"2º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1684120.819,0,0,0,"2021-S2º Semestre","Pós-2017"
2020,"2º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1683659.221,0,0,0,"2020-S2º Semestre","Pós-2017"
2021,"1º Semestre","Nordeste","Aratu - Salvador","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1666375.7,0,0,0,"2021-S1º Semestre","Pós-2017"
2020,"2º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1656218.421,0,0,0,"2020-S2º Semestre","Pós-2017"
2015,"2º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1646415.574,0,0,0,"2015-S2º Semestre","Pré-2017"
2017,"2º Semestre","Sul","São Francisco do Sul","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1644757.437,0,0,0,"2017-S2º Semestre","Pós-2017"
2010,"2º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1630070.956,0,0,0,"2010-S2º Semestre","Pré-2017"
2012,"2º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1629785.306,0,0,0,"2012-S2º Semestre","Pré-2017"
2017,"2º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1611670.699,0,0,0,"2017-S2º Semestre","Pós-2017"
2025,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1600148.805,0,0,0,"2025-S1º Semestre","Pós-2017"
2015,"1º Semestre","Norte","Santarém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1591198.78,0,0,0,"2015-S1º Semestre","Pré-2017"
2012,"1º Semestre","Sudeste","Vitória","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1586996.495,0,0,0,"2012-S1º Semestre","Pré-2017"
2013,"1º Semestre","Norte","Santarém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1578459.575,0,0,0,"2013-S1º Semestre","Pré-2017"
2013,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1562615.11,0,0,0,"2013-S1º Semestre","Pré-2017"
2013,"1º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1557238,0,0,0,"2013-S1º Semestre","Pré-2017"
2024,"1º Semestre","Nordeste","Aratu - Salvador","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1554315.817,0,0,0,"2024-S1º Semestre","Pós-2017"
2023,"1º Semestre","Nordeste","Aratu - Salvador","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1551860.398,0,0,0,"2023-S1º Semestre","Pós-2017"
2021,"2º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",1544204.987,0,0,0,"2021-S2º Semestre","Pós-2017"
